Date,Open,High,Low,Close,Increment,Return,Volume,Turnover
2011-01-31,21.2600,21.3600,20.9920,21.2300,-0.0150,-0.0706,"65,028,938",0
2011-02-01,21.2830,21.4820,21.1380,21.4290,0.1991,0.9378,"62,810,661",0
2011-02-02,21.3830,21.5200,21.3450,21.3900,-0.0388,-0.1811,"45,836,488",0
2011-02-03,21.4060,21.4140,21.0840,21.1680,-0.2217,-1.0365,"60,340,059",0
2011-02-04,21.2070,21.3140,21.0610,21.2600,0.0920,0.4346,"40,416,627",0
2011-02-07,21.2830,21.6970,21.2760,21.5890,0.3290,1.5475,"68,980,871",0
2011-02-08,21.5130,21.6970,21.4750,21.6510,0.0612,0.2835,"34,910,467",0
2011-02-09,21.5820,21.6350,21.3680,21.4140,-0.2370,-1.0947,"52,905,018",0
2011-02-10,21.3830,21.3900,20.8920,21.0540,-0.3600,-1.6812,"76,672,349",0
2011-02-11,21.2530,21.2910,20.7240,20.8630,-0.1911,-0.9077,"83,939,643",0
2011-02-14,20.8320,20.8780,20.6330,20.8470,-0.0155,-0.0743,"56,766,112",0
2011-02-15,20.8240,21.0470,20.7550,20.7620,-0.0848,-0.4068,"44,120,592",0
2011-02-16,20.8320,20.8470,20.4850,20.8090,0.0463,0.2230,"70,817,867",0
2011-02-17,20.7700,21.0780,20.7240,20.9540,0.1459,0.7012,"57,211,558",0
2011-02-18,20.8930,20.9540,20.7850,20.8390,-0.1156,-0.5517,"68,672,855",0
2011-02-22,20.6240,20.8700,20.4230,20.4780,-0.3613,-1.7338,"60,888,998",0
2011-02-23,20.4310,20.6850,20.3540,20.4780,0.0000,0.0000,"60,234,083",0
2011-02-24,20.5160,20.8390,20.4080,20.6160,0.1382,0.6749,"64,499,005",0
2011-02-25,20.7240,20.7550,20.4080,20.4460,-0.1695,-0.8222,"53,006,263",0
2011-02-28,20.5540,20.6850,20.4160,20.4690,0.0231,0.1130,"51,379,675",0
2011-03-01,20.4850,20.6240,20.1380,20.1460,-0.3231,-1.5785,"60,054,986",0
2011-03-02,20.1080,20.3080,20.0540,20.0850,-0.0615,-0.3053,"48,658,193",0
2011-03-03,20.2230,20.3310,20.1620,20.1760,0.0917,0.4566,"68,271,500",0
2011-03-04,20.1920,20.2080,19.8690,19.9840,-0.1920,-0.9516,"70,437,154",0
2011-03-07,20.1230,20.2310,19.6760,19.8070,-0.1774,-0.8877,"64,987,131",0
2011-03-08,19.8460,20.0380,19.7530,19.9530,0.1463,0.7386,"50,555,383",0
2011-03-09,19.8770,20.0070,19.7610,19.9380,-0.0151,-0.0757,"39,792,379",0
2011-03-10,19.7300,19.8000,19.5220,19.5690,-0.3696,-1.8537,"66,557,502",0
2011-03-11,19.5690,19.9080,19.5300,19.7770,0.2080,1.0629,"49,906,849",0
2011-03-14,19.6300,19.8380,19.5220,19.7840,0.0074,0.0374,"54,456,558",0
2011-03-15,19.3150,19.6150,19.2530,19.5530,-0.2309,-1.1671,"76,064,201",0
2011-03-16,19.4220,19.4690,19.0060,19.0910,-0.4623,-2.3643,"100,718,988",0
2011-03-17,19.2990,19.4220,19.0600,19.0840,-0.0073,-0.0382,"62,506,557",0
2011-03-18,19.2990,19.3920,19.0990,19.0990,0.0152,0.0796,"85,486,688",0
2011-03-21,19.3920,19.7000,19.3680,19.5070,0.4081,2.1368,"46,895,059",0
2011-03-22,19.4840,19.6070,19.4300,19.4840,-0.0229,-0.1174,"30,903,641",0
2011-03-23,19.4300,19.7230,19.3920,19.6690,0.1848,0.9485,"44,018,832",0
2011-03-24,19.7150,19.9230,19.6380,19.8770,0.2079,1.0570,"38,696,661",0
2011-03-25,19.9690,19.9840,19.7070,19.7300,-0.1464,-0.7365,"57,031,023",0
2011-03-28,19.7610,19.8070,19.5460,19.5690,-0.1616,-0.8190,"48,975,380",0
2011-03-29,19.5150,19.6530,19.4840,19.6300,0.0616,0.3148,"40,772,423",0
2011-03-30,19.7150,19.8070,19.6380,19.7230,0.0926,0.4717,"42,000,178",0
2011-03-31,19.7150,19.7770,19.5150,19.5530,-0.1697,-0.8604,"63,281,785",0
2011-04-01,19.6610,19.6610,19.4920,19.6220,0.0692,0.3539,"63,114,201",0
